reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
9a88121f-4e77-4b12-9a41-46aea88f4591,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"mudah ,cepat",5,0,8.77.3,2025-11-30 23:07:15+00:00,,,8.77.3
7d3c4b84-ac0b-4160-8ceb-68b760ca183a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mudah daftar atau Verifikasinya. dan juga gampang mengaplikasikan,5,0,8.78.0,2025-11-30 22:32:59+00:00,,,8.78.0
62d22e26-c443-4625-b347-5f750ac50568,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gimana ini gabisa ngajuin pinjaman,1,0,8.78.0,2025-11-30 22:18:22+00:00,"Halo, Jagoan! Mohon maaf apabila terdapat fitur atau layanan Jago yang belum sesuai harapan kamu. Kamu bisa menghubungi Tanya Jago di nomor 1500746 / 021-30000746 atau e-mail ke tanya@jago.com untuk kami bantu cek kendalanya lebih lanjut ya. Agent kami dengan senang hati membantu kamu.",2025-11-30 22:36:12,8.78.0
40764ffa-5db9-460a-8cd9-e63b17e76211,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sudah Ter update tapi kenapa tidak bisa terbuka.dan tidak bisa verefikasi bank jago nya mohon di bantu.kendala saya.terima kasih,5,0,8.78.0,2025-11-30 22:17:15+00:00,,,8.78.0
ca4c7250-b980-4f05-adf5-95fc3f309592,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,udah bener kata sandi akun uang di buat tapi pemberitahuan nya mengatakan bahwa sandi Anda salah padahal udah di cek sandi akun nya bener tapi pas di coba di apk ini sandi salah sampai 3 kali lalu pemberitahuan akun anda kena blokir harus nunggu 1 jam apa apaan coba,1,8,8.78.0,2025-11-30 19:48:01+00:00,"Halo, Jagoan! Mohon maaf atas ketidaknyamanan yang Kakak alami. Supaya bisa membantu lebih lanjut, Kakak bisa menginformasikan detail keluhannya melalui email tanya@jago.com ya. Tim terkait kami dengan senang hati akan membantu Kakak menyelesaikan permasalahannya.",2025-11-30 20:52:24,8.78.0
5883b6ad-d7a7-4e43-92c7-12025074652c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,baru di isi saldo tiba tiba gak bisa di buka stresss lu yah.,1,0,8.78.0,2025-11-30 19:13:34+00:00,"Halo, Jagoan! Mohon maaf atas ketidaknyamanan yang Kakak alami. Supaya bisa membantu lebih lanjut, Kakak bisa menginformasikan detail keluhannya melalui email tanya@jago.com ya. Tim terkait kami dengan senang hati akan membantu Kakak menyelesaikan permasalahannya.",2025-11-30 19:41:02,8.78.0
4156a771-a906-4c67-b8b7-71aeda61340c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,transaksi cepat simpel juga murah,5,0,8.78.0,2025-11-30 18:50:44+00:00,,,8.78.0
2956eab1-f9c5-4e32-82cb-f399eb3623ff,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ok,5,0,8.77.3,2025-11-30 18:45:02+00:00,,,8.77.3
34be6e74-924b-4be8-bc58-dc285546db6f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bonus nya dong,5,0,8.77.3,2025-11-30 18:25:08+00:00,,,8.77.3
23239faf-1ef9-408c-850f-05ad9c9efd39,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,min..kok saya ngga bisa lagi masukin akun jago saya ya..kalau saya gnti hp trus login dengn hp lain ngga bisa lagi mask nya mi..mohn untuk dibntu min,2,0,,2025-11-30 16:56:32+00:00,"Halo, Jagoan! Mohon maaf atas ketidaknyamanan yang Kakak alami. Supaya bisa membantu lebih lanjut, Kakak bisa menginformasikan detail keluhannya melalui email tanya@jago.com ya. Tim terkait kami dengan senang hati akan membantu Kakak menyelesaikan permasalahannya.",2025-11-30 17:06:21,
d1fc232f-c7e3-42b2-a8e8-d617994e8d97,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"jelek bgd ini. mau bayar orderan online di bli bli pakai debit online. keterangan gagal, limit saldo tidak memenuhi masak kena biaya Rp. 5.000. harus nya kalau gagal ya tidak ada biya apa2. mana nyoba sampai 3x alhasil kepotong 15rb, jadi kapok.",1,7,8.78.0,2025-11-30 15:31:39+00:00,"Halo, Jagoan! Mohon maaf apabila terdapat fitur atau layanan Jago yang belum sesuai harapan kamu. Kamu bisa menghubungi Tanya Jago di nomor 1500746 / 021-30000746 atau e-mail ke tanya@jago.com untuk kami bantu cek kendalanya lebih lanjut ya. Agent kami dengan senang hati membantu kamu.",2025-11-30 16:00:50,8.78.0
71d75940-6a84-47b2-a48a-348a38133937,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,suka banget jujur,5,0,8.77.3,2025-11-30 14:53:48+00:00,,,8.77.3
8d1d1823-966e-4b2e-881e-c6d7124d312f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ok banget jos,5,0,8.78.0,2025-11-30 14:31:26+00:00,,,8.78.0
1abdb8f9-115a-42b2-af24-37f5084c81fd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,untuk pelayanan buruk tidak ada solusi disuruh telpon sampek pulsa habis pun tidak ada solusi saya sudah lupa email dan nomer telepon malah disuruh kecabangnya cbangnya cuma ada dijakarta anjeng saya mau daftar lagi tidak bisa nik sudah dipakai woy tolonglah jaga penggunanya jgn buat promo terus lupa sama pengguna lama,1,0,,2025-11-30 14:02:21+00:00,"Halo, Jagoan. Mohon maaf atas kendala yang terjadi ya. Kamu tidak perlu khawatir, kamu bisa menjelaskan detail kendala tersebut melalui email di tanya@jago.com atau call center 1500 746 untuk kami bantu tangani lebih lanjut. Terima kasih :)",2025-11-30 14:30:44,
55f659b2-3b7a-4909-9137-cbb5e9b5b046,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,semoga di permudah menguntungkan dan tingkatkan,5,0,8.78.0,2025-11-30 12:44:33+00:00,,,8.78.0
30e967cc-41c6-4615-a391-635f4baf452a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantap,5,0,8.73.0,2025-11-30 12:34:23+00:00,,,8.73.0
96127fd8-495f-49e1-a8d0-5399b55759f9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bismillah bank jago dan jago syariah sukses slalu dan tetap amanah,4,0,8.77.3,2025-11-30 11:17:11+00:00,"Halo, Jagoan! Terima kasih telah menggunakan Bank Jago. Kami akan terus meningkatkan kualitas dan berinovasi untuk memenuhi kebutuhan finansial kamu. Jika kamu memiliki pertanyaan, kamu bisa hubungi kami via telepon di 1500 746/+62 21 3000 074 atau email ke tanya@jago.com. Agent kami akan segera membantumu.",2025-11-30 11:33:21,8.77.3
ec1662ba-74b2-444c-b8bc-4c527af6ba14,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Bank Jago/Jago Syariah tuh definisi “simple tapi powerful”. 🔥 Transfer antar bank gratis, tarik tunai bisa di seluruh dunia—langsung secure. 🌍 💳 Plus, nabung dan investasi tinggal klik. Cocok buat yang mau hidup rapi tapi tetap enjoy. 😎📈 #BankJago #JagoSyariah #DigitalBanking #GratisTransfer #GlobalATM #NabungCerdas #InvestasiSantai",5,0,,2025-11-30 11:01:06+00:00,,,
febda8a1-b063-42ab-87f7-5b18e7be16d4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"saya sangat berterimakasih untuk aplikasi yang 1 ini ,,, pokok nya aplikasi nya mantap dan gak ribet .. debes buat jagaon ini ok lah mantap",5,0,8.74.0,2025-11-30 10:44:25+00:00,,,8.74.0
425af198-9b52-417e-bc97-7eb023d279bb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,nomer lama sudah tidak aktif atau hilang saya mau memperbaharui dengan nomer yang baru,5,0,8.78.0,2025-11-30 10:37:14+00:00,,,8.78.0
2d326f5f-0d90-4af6-8f9a-a08d248332e0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantap,5,0,8.78.0,2025-11-30 09:31:00+00:00,,,8.78.0
a4edc2a9-7be3-4099-97b4-6f374c30b8af,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Transaksi lebih mudah,5,0,8.78.0,2025-11-30 08:52:15+00:00,,,8.78.0
762ca175-93da-4986-a8af-8dcb5f7788e0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"selalu koneksi terputus padahal internet stabil,tolong perbaiki",1,0,,2025-11-30 08:17:47+00:00,"Halo, Jagoan. Mohon maaf atas kendala yang terjadi ya. Kamu tidak perlu khawatir, kamu bisa menjelaskan detail kendala tersebut melalui email di tanya@jago.com atau call center 1500 746 untuk kami bantu tangani lebih lanjut. Terima kasih :)",2025-11-30 08:30:35,
606be0c6-e294-473d-bc10-8524719a072b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,nice,5,0,,2025-11-30 08:01:15+00:00,,,
7b28bc43-5d62-442f-9413-116e0701eb06,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"tolong di tambahkan QRis pembayaran scaner(kita yg ngeluarin kode barcodenya) untuk belanja di indomart atau alfamart, seperti di bank lain...",4,0,,2025-11-30 07:56:25+00:00,"Halo, Jagoan. Terima kasih atas penilaian yang sudah kamu berikan. Masukanmu menjadi input baik untuk Jago dalam memberikan layanan yang lebih baik lagi ke depannya. Jika ada yang ingin ditanyakan, kamu bisa mengirimkan email ke tanya@jago.com atau call center di 1500 746. Terima kasih :)",2025-11-30 08:01:57,
856761db-c9c6-4369-8dc2-01de58328e12,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,takperlu kata kata biar bintang yg bicara soal apk ini😍🔥,5,0,8.78.0,2025-11-30 07:50:46+00:00,,,8.78.0
80c4b555-e0d9-4d1c-8bfd-df5dfc0f5762,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kerenn,5,0,8.78.0,2025-11-30 05:15:15+00:00,,,8.78.0
079fd366-63f8-4c8d-a54d-396c6143bfd0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"apakah bisa mencetak atm?di daerah terdekat saya belum ada kantor bank jago, kalau saya ingin mencetak kartu ATM bagaimana?",5,0,8.78.0,2025-11-30 04:54:24+00:00,,,8.78.0
995a7f8c-2319-40f2-8732-ea3cc82c6b92,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,BANK JAGO MANTAP 👍👍,5,0,8.78.0,2025-11-30 04:16:36+00:00,,,8.78.0
