reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
7a1743ec-4eba-44a5-9e42-d02ae3bbddca,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantap,5,0,8.73.0,2025-10-31 23:55:32+00:00,,,8.73.0
4095d6b4-eba7-420a-a156-c131d2397dab,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"31 oktober 2025 saya tidak jadi pengajuan peminjaman dana di apk ini,jika ada yang menyalah gunakan dengan data saya,saya tidak akan bertanggung jawab,dan apk ini saya hapus,terima kasih",4,0,8.75.0,2025-10-31 23:07:20+00:00,"Halo, Jagoan. Mohon maaf atas kendala yang terjadi ya. Kamu tidak perlu khawatir, kamu bisa menjelaskan detail kendala tersebut melalui email di tanya@jago.com atau call center 1500 746 untuk kami bantu tangani lebih lanjut. Terima kasih :)",2025-11-01 00:09:51,8.75.0
7ba2b3bf-8fc5-49e5-8bc1-d2816ff65e28,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,memudahkan segala transaksi.,5,0,8.75.0,2025-10-31 22:32:02+00:00,,,8.75.0
c467b8c1-4f21-457c-93fe-f29c44fcb583,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sampai detik ini saya blm bisa memakai bank jago saya sampai sekarang di karenakan di blokir dan pihak jago tidak ada kepastian sampai saat ini juga,1,0,,2025-10-31 22:12:33+00:00,"Halo, Jagoan. Mohon maaf atas kendala yang terjadi ya. Kamu tidak perlu khawatir, kamu bisa menjelaskan detail kendala tersebut melalui email di tanya@jago.com atau call center 1500 746 untuk kami bantu tangani lebih lanjut. Terima kasih :)",2025-11-01 00:09:47,
9882b10d-42e6-48eb-8edb-7980eae7cbe8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Alhamdulillah sejauh ini pake bang jago lancar lancar aja tanpa ada kendala,,semua proses transaksi gampang dan praktis,,,Terimakasih bang jago semoga kedepannya semakin meningkat lagi💪💪🙏🙏",5,2,8.75.0,2025-10-31 21:48:10+00:00,,,8.75.0
3c2f3f07-50f7-4fa6-b270-56f5d9137ae9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Saya lupa kata sandi, tidak ada solusinya",1,0,,2025-10-31 21:27:12+00:00,"Halo, Jagoan. Mohon maaf atas kendala yang terjadi ya. Kamu tidak perlu khawatir, kamu bisa menjelaskan detail kendala tersebut melalui email di tanya@jago.com atau call center 1500 746 untuk kami bantu tangani lebih lanjut. Terima kasih :)",2025-10-31 22:29:26,
3d002bb2-66a1-4586-85d4-fa48f80830bf,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,saya barusan nelpon pihak cs bang jago mengenai pengkinian nama saya Rudiansyah biar sesuai dgn e KTP semoga cepet d proses,5,0,8.75.0,2025-10-31 21:17:09+00:00,,,8.75.0
60308bf2-270b-4192-9cf6-bd2f8cb16c3f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,trimakasih,5,0,8.76.0,2025-10-31 20:14:50+00:00,,,8.76.0
3b9cbac8-d488-46bd-ac6d-2846f6bf6250,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"yang bener aja mau log in ribet amat cuma kena sesi biasanya ga perlu log in ulang waktu log in ulang verifikasi 2 kali nunggu aktivasi ya aja ga muncul"" padahal hp sama",1,0,8.50.0,2025-10-31 20:06:14+00:00,"Halo, Jagoan! Mohon maaf atas ketidaknyamanannya. Kami mengerti atas pengalaman kurang baik yang kamu alami. Untuk membantu kamu lebih lanjut, mohon menghubungi Tanya Jago di 1500746 / 021-30000746 atau email ke tanya@jago.com untuk kami cek lebih lanjut terkait kendala tersebut. Kami tunggu laporan dari kamu ya.",2025-10-31 21:08:15,8.50.0
f4522b73-0a7d-4985-8c83-44ed0b8b2397,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Bank Jago benar-benar memudahkan urusan keuangan saya! Aplikasinya ringan, tampilannya modern, dan fitur-fiturnya lengkap. Transfer cepat, tanpa ribet, dan layanan customer service-nya juga responsif. Sangat direkomendasikan!",5,0,8.76.0,2025-10-31 20:04:44+00:00,,,8.76.0
e782d25d-af5c-49a3-b3af-49b59456b7d1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,asli gak jelas app sekelas bank dunia punya sistem yg berantakan saya di minta bikin pasword sampai 3x dan setelah di buat saya masuk dg pasword itu lagi tidak bisa ketika login di tampilan awal pakai pasword malah di suruh buat pin baru pak saran aja pak kami di sini mau narok uang kami pak kalau sekedar akun saja sudah berantakan begini gimana kami mau percaya mau narok uang di sini coba perhatikan lagi apps ini bukan platfrom yang kecil harus nya tapi benar2 gak jelas,2,2,8.76.0,2025-10-31 19:42:34+00:00,"Halo, Jagoan! Mohon maaf atas ketidaknyamanannya. Kami mengerti atas pengalaman kurang baik yang kamu alami. Untuk membantu kamu lebih lanjut, mohon menghubungi Tanya Jago di 1500746 / 021-30000746 atau email ke tanya@jago.com untuk kami cek lebih lanjut terkait kendala tersebut. Kami tunggu laporan dari kamu ya.",2025-10-31 20:06:32,8.76.0
96e6a304-69ae-4dc3-9b34-5af6d2b56f4e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Good platform,5,0,8.76.0,2025-10-31 18:52:11+00:00,,,8.76.0
4aebbfdd-fa3e-4d4b-83d9-fab5269c7242,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"baru sehari buat udah ke blokir ga jelas ke blokir gara gara apa, sampe sekarang blom bisa di buka blokirnya padahal udah lapor ke customer service",1,0,8.76.0,2025-10-31 18:30:57+00:00,"Halo, Jagoan! Kami mohon maaf sekali ya atas kendala yang kamu alami. Apakah kamu berkenan menginformasikan detail kendala tersebut supaya bisa kami bantu cek lebih lanjut? Mohon untuk menghubungi kami melalui Tanya Jago di 1500 746/+62 21 3000 0746, atau melalui email ke tanya@jago.com. Kami tunggu laporannya ya.",2025-10-31 19:07:10,8.76.0
8864d6f0-a337-489c-978d-fba72b06d090,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Semoga Bermanfaat Bank Jago nya,5,0,8.76.0,2025-10-31 17:36:34+00:00,,,8.76.0
cbe6e2d6-09c5-4a0b-854c-848f384428eb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gak bisa minjam,1,0,,2025-10-31 17:24:47+00:00,"Halo, Jagoan! Kami mohon maaf sekali ya atas kendala yang kamu alami. Apakah kamu berkenan menginformasikan detail kendala tersebut supaya bisa kami bantu cek lebih lanjut? Mohon untuk menghubungi kami melalui Tanya Jago di 1500 746/+62 21 3000 0746, atau melalui email ke tanya@jago.com. Kami tunggu laporannya ya.",2025-10-31 17:46:52,
1063dc2e-6e7b-4c67-a261-687ac5a3b7a6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bank jago ribet waktu daftar selalu salah nama dengan nama ktp admin yang jawab pertanyaan kurang naggepin nggak rekom banget langsung saya uninstal gajelas aplikasinya,1,0,,2025-10-31 17:12:57+00:00,"Halo, Jagoan! Mohon maaf atas ketidaknyamanan. Kami akan terus memperbaiki dan meningkatkan layanan perbankan kami. Mohon kesediaannya untuk menginformasikan secara detail kendala yang dialami dengan menghubungi kami melalui Tanya Jago di 1500 746/+62 21 3000 0746, atau email ke tanya@jago.com. Kami tunggu ya.",2025-10-31 17:47:03,
488de3dc-649e-4437-9b9a-8dd7d120783b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagussss,5,0,8.75.0,2025-10-31 16:56:32+00:00,,,8.75.0
a0d84ef0-99fc-4860-af0e-b0c080ed057e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat bermangfaat,5,0,8.76.0,2025-10-31 16:31:22+00:00,,,8.76.0
30e6022d-0ad9-41ad-abd8-73e56d6f7a29,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantap sjka pake jago banyak cashbacknya,5,0,8.75.0,2025-10-31 16:10:09+00:00,,,8.75.0
790e0564-2afa-4b8c-90a9-9027a7e0fecc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sangat Bagus,5,0,8.75.0,2025-10-31 16:02:42+00:00,,,8.75.0
275c11b5-2bd4-4006-90a5-b6719eb71908,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,aneh pdahl pnya akun dr gopay pas mau login mlh g terdaftar kocak,1,0,,2025-10-31 15:49:37+00:00,"Halo, Jagoan! Kami mohon maaf sekali ya atas kendala yang kamu alami. Apakah kamu berkenan menginformasikan detail kendala tersebut supaya bisa kami bantu cek lebih lanjut? Mohon untuk menghubungi kami melalui Tanya Jago di 1500 746/+62 21 3000 0746, atau melalui email ke tanya@jago.com. Kami tunggu laporannya ya.",2025-10-31 16:10:41,
40c5984c-7375-4942-b9ed-787f26ee5099,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Gak bisa ganti Nomor , Ganti Email , dipersulit semua , payahh",1,0,,2025-10-31 15:47:46+00:00,"Hai, Jagoan! Mohon maaf untuk ketidaknyamanan terkait kendala yang kamu alami. Hal ini akan menjadi perhatian dan masukan agar Bank Jago lebih baik ke depannya. Silakan hubungi Tanya Jago di 1500746/+62 21 3000 0746, atau menghubungi melalui email ke tanya@jago.com. Dengan senang hati kami akan membantu menyelesaikan masalah dan kendala kamu. :)",2025-10-31 16:10:33,
4a1188db-f181-4f03-bb83-25fa5281e7ea,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,terbaik,5,0,8.76.0,2025-10-31 15:40:25+00:00,,,8.76.0
a9baf3b9-e822-4846-aa44-5626b0252073,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,halaaahhhh bank apa coba ini akunku di blokir padahal saldonya setengah jt an gk bisa di balikin lagi udh sering bolak balik ngirim pesan lewat email sama agent nya langsung malah responnya gk jelas banget udh mah lama lagi huuuhhh,1,5,8.76.0,2025-10-31 15:29:30+00:00,"Halo, Jagoan! Mohon maaf atas kendala yang kamu alami ya. Saya mengerti situasi sulit ini mengganggu kamu. Mohon kesediaannya mengirimkan email ke tanya@jago.com dengan melampirkan bukti foto/tangkapan layar kendala kamu. Agar dapat segera kami bantu.",2025-10-31 15:32:44,8.76.0
49feaa2c-156d-4414-b618-83e645481802,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,tolong dong respons komplain nya di tanggapi...akun gak bisa masuk udah bbrga hari udah laporan masih di suruh nunggu aja..,1,0,8.75.0,2025-10-31 14:47:50+00:00,"Halo, Jagoan! Mohon maaf atas ketidaknyamanannya. Kami mengerti atas pengalaman kurang baik yang kamu alami. Untuk membantu kamu lebih lanjut, mohon menghubungi Tanya Jago di 1500746 / 021-30000746 atau email ke tanya@jago.com untuk kami cek lebih lanjut terkait kendala tersebut. Kami tunggu laporan dari kamu ya.",2025-10-31 15:05:10,8.75.0
16431305-cfaa-4789-8865-fd89be9f0dfd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ok,4,0,8.74.0,2025-10-31 14:42:19+00:00,"Halo, Jagoan! Terima kasih telah memilih Bank Jago dan selamat menjelajahi fitur-fiturnya ya. Yuk ikuti terus social media kami untuk tahu informasi promo dan update terbaru dari kami. Jika ada hal lain yang ingin ditanyakan, jangan ragu-ragu untuk menghubungi Tanya Jago di nomor 1500746 / 021-30000746 atau e-mail ke tanya@jago.com",2025-10-31 15:04:33,8.74.0
337d9c79-b3e5-491f-bc4c-935e3942abab,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"apk apasih ini udah login 1 hari lalu kok pas mau login gabisa, koneksi terputus mulu padahal sinyal kenceng",1,0,8.76.0,2025-10-31 14:29:36+00:00,"Halo, Jagoan! Mohon maaf atas ketidaknyamanannya. Kami mengerti atas pengalaman kurang baik yang kamu alami. Untuk membantu kamu lebih lanjut, mohon menghubungi Tanya Jago di 1500746 / 021-30000746 atau email ke tanya@jago.com untuk kami cek lebih lanjut terkait kendala tersebut. Kami tunggu laporan dari kamu ya.",2025-10-31 14:30:45,8.76.0
015ccc1e-eda8-4bf3-80c4-589506271b44,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,guuuddd banget,5,0,8.76.0,2025-10-31 14:22:15+00:00,,,8.76.0
56dcc268-de90-4c66-824c-19d5f114b301,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Jagan percaya sama apk ini disini tidak ada pinjaman,1,0,,2025-10-31 13:54:36+00:00,"Halo, Jagoan! Mohon maaf apabila terdapat fitur atau layanan Jago yang belum sesuai harapan kamu. Kamu bisa menghubungi Tanya Jago di nomor 1500746 / 021-30000746 atau e-mail ke tanya@jago.com untuk kami bantu cek kendalanya lebih lanjut ya. Agent kami dengan senang hati membantu kamu.",2025-10-31 14:30:29,
01015d05-8404-4fc5-bbf7-48292acc46fa,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,dengan jago saya sangat terbantu terimakasih semoga selalu jaya,5,0,,2025-10-31 13:03:51+00:00,,,
8a1a4ce6-d947-48c4-9c7b-1823a281eba1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sejauh ini nyaman pakenya ga ada masalah dll,5,0,,2025-10-31 12:50:19+00:00,,,
9ea6c555-ba7b-4b6c-8094-e82ac2e4e90f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantap sekali,5,0,8.76.0,2025-10-31 12:40:29+00:00,,,8.76.0
7173a99f-e2df-4df9-9a87-dddb7111f71d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantap,5,0,8.76.0,2025-10-31 12:23:44+00:00,,,8.76.0
d5a132a3-1af6-41df-ad42-07d4db7490a7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,My trusted Online Banking recently ..,5,0,8.75.0,2025-10-31 10:43:24+00:00,,,8.75.0
90d4037d-8b28-4bea-85f4-876e34ed21c1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Terimakasih bank jago aplikasi sangat membantu simpel dan cepat proses transaksi sangat mudah. Terimakasih juga hadiahnya,5,2,8.76.0,2025-10-31 10:40:05+00:00,,,8.76.0
2a4d549d-ecad-45f2-8ef1-afc214f70692,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"saya ada transfer masuk dari bank lain, kok saldo di bank jago saya tidak berubah ya?",2,0,8.76.0,2025-10-31 10:15:26+00:00,"Halo, Jagoan! Mohon maaf atas kendala yang kamu alami ya. Saya mengerti situasi sulit ini mengganggu kamu. Mohon kesediaannya mengirimkan email ke tanya@jago.com dengan melampirkan bukti foto/tangkapan layar kendala kamu. Agar dapat segera kami bantu.",2025-10-31 10:34:33,8.76.0
ddf415f7-4703-494a-8cc8-927d8f3035a5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantul bangetlah,5,0,8.75.0,2025-10-31 10:11:10+00:00,,,8.75.0
45379c36-78dd-4f5b-8117-60f9c36d7496,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ini kemana tim terkaitnya kok minta ganti nomer terdaftar sampe 2'minggu ga selesai...,1,0,,2025-10-31 10:06:12+00:00,"Halo, Jagoan! Mohon maaf apabila terdapat fitur atau layanan Jago yang belum sesuai harapan kamu. Kamu bisa menghubungi Tanya Jago di nomor 1500746 / 021-30000746 atau e-mail ke tanya@jago.com untuk kami bantu cek kendalanya lebih lanjut ya. Agent kami dengan senang hati membantu kamu.",2025-10-31 10:40:21,
52334edf-c05b-49f3-903c-3b6b5e9c6509,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sangat bagus mudah untuk di gunakan dan barmanfaat,5,0,,2025-10-31 10:00:20+00:00,,,
