reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
094c88ae-5c22-4461-a9c2-ff5d96fa45b1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"selalu di jam 11 udah ga bisa tf masa tolong perbaiki ya jadi susah banget kalo harus nunggu beberapa jam buat pemeliharaan terus"" kaya gitu pdhl kebutuhan orang"" beda waktu, jadinya untuk nyimpen saldo di livin lebih dipikir"" lagi karena gitu di jam malem udah ga bisa tf belum lagi suka eror",2,6,3.2.0,2025-11-30 23:55:20+00:00,"Halo Sahabat @llyhla yhlla, mhn maaf atas ketidaknyamanannya. Perihal kendala tsb, mhn mencoba kembali secara berkala dgn pastikan melakukan force close dan jaringan yg digunakan stabil. Apabila masih mengalami kendala, mhn kesediaannya menghubungi layanan mandiri call 14000 agar dpt kami lakukan pengecekan lebih lanjut. Tks~Kale",2025-11-30 23:59:05,3.2.0
59990cf1-80c4-4684-9975-897ce9244bfc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat mudah dalam bertransaksi,5,0,2.2.0,2025-11-30 23:04:09+00:00,"Terima kasih atas review yg telah diberikan Sahabat @Dimas Nugroho official. Semoga dpt terus menikmati kemudahan dan kenyamanan dlm menggunakan Livin' by Mandiri. Silakan coba fitur Linkage E-Wallet. Pertama dan satu-satunya aplikasi financial yg menghubungkan semua saldo e-Wallet (LinkAja, OVO, DANA, GoPay) dlm satu aplikasi. Tks ~ Said",2025-11-30 23:15:41,2.2.0
9269275b-b98c-4a13-bab3-28d063fd4539,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,jelek sekali,1,1,3.2.0,2025-11-30 23:03:21+00:00,"Halo Sahabat @Feri Gasol, mohon maaf atas ketidaknyamannya. Perihal kendala pada layanan Livin' by Mandiri, mohon untuk dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau dapat menghubungi layanan mandiri 14000 agar dapat dilakukan pengecekan. Tks~Kale",2025-11-30 23:06:58,3.2.0
3a528332-ee37-445f-b7b2-66f6cefb084f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,payah untuk verifikasi muka aja susah banget padahal bukan pengguna baru untuk mbanking tapi verifikasi wajah nya susah sekali,1,0,2.2.0,2025-11-30 23:00:11+00:00,"Halo Sahabat @Muhammad Riskal, mohon maaf atas ketidaknyamanannya. Untuk perihal kendala yang dialami, mohon untuk dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau dapat menghubungi layanan mandiri 14000 agar dapat dilakukan pengecekan. Tks~Raka",2025-11-30 23:14:04,2.2.0
8b863614-cc90-4dfa-8be2-a8f105209198,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,qiris sering gagal aneh padahal saldo cukup gambar jelas,1,0,3.2.0,2025-11-30 22:51:15+00:00,"Halo Sahabat @Wawan Kurniawan, mohon maaf atas ketidaknyamannya. Perihal kendala pada layanan Livin' by Mandiri, mohon untuk dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau dapat menghubungi layanan mandiri 14000 agar dapat dilakukan pengecekan. Tks~Kale",2025-11-30 22:54:13,3.2.0
f44dced5-b517-4dd3-8b86-1622303779bf,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"livin by mandiri verifikasi wajah gagal terus, mending pindah ke BCA",1,1,3.2.0,2025-11-30 22:47:42+00:00,"Halo Sahabat @Doni Romdoni, mohon maaf atas ketidaknyamanannya. Jika terdapat kendala verifikasi wajah pada saat proses registrasi Livin, Sahabat dapat mencoba kembali dengan memastikan hal-hal sebagai berikut: Pastikan agar pencahayaan baik dan wajah tidak terlalu dekat dengan kamera. Tks~Charles",2025-11-30 22:51:48,3.2.0
29b6ca6b-4bac-4f7a-9f16-5797f456be01,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,saya mau login di hp Infinix dg sistem operasi XOS tidak bisa. tolong segera diatasi dong,1,1,3.2.0,2025-11-30 22:00:38+00:00,"Halo Sahabat @Mohammad Hairul Anwar, mohon maaf atas ketidaknyamanannya. Perihal kendala pada layanan Livin' by Mandiri Sahabat dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau dapat menghubungi layanan mandiri call 14000 agar dapat dilakukan pengecekan. Tks ~ Said",2025-11-30 22:15:11,3.2.0
e11ea10c-e2d2-484c-af4f-9d2ef5fab4cb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mau cek total saldo dan top up saldo e money loading terus lama bgt,1,0,,2025-11-30 21:26:14+00:00,"Hai Sahabat @DANI SUJANA, mohon maaf atas ketidaknyamanannya. Untuk kendala yg dialami kami persilakan force close aplikasi terlebih dahulu jaringan yg digunakan stabil dan mencoba kembali secara berkala ya. Tks~Charles",2025-11-30 21:28:51,
37d9cff5-9cc1-4080-8de0-10da5ba9f544,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat memuaskan pelayanan livin...sangat memper mudah dalam ber transaksi..,5,0,3.2.0,2025-11-30 21:09:22+00:00,Terima kasih atas review yang telah diberikan Sahabat @Mjex Adpl. Semoga dapat terus menikmati kemudahan dan kenyamanan dalam menggunakan Livin' by Mandiri. Silahkan coba fitur tarik tunai tanpa kartu pada ATM Bank Mandiri & ATM Merah Putih ex Bank Mandiri melalui Livin'. Bisa create banyak token untuk berbagai keperluan :) ~Tommy,2025-11-30 21:13:44,3.2.0
2b13929a-b4e4-4cdf-83ad-fe692164de07,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,saya pake livin udah 5 tahun ga muncul paylater atau ksm nya di aplikasi,1,0,3.2.0,2025-11-30 20:37:51+00:00,"Hai Sahabat @Rheva andhara Kirana, mohon maaf atas ketidaknyamanannya. Utk pengecekan lebih lanjut atas kendala yg dialami, kami persilakan mengirimkan pesan melalui layanan email kami di mandiricare@bankmandiri.co.id atau mandiri call 14000 ya. Tks~Tommy",2025-11-30 20:40:38,3.2.0
