Unnamed: 0,reviewId,content,normalized
0,6a7dbd15-2507-4f2c-bd2c-d36bbc89c640,masa Bank BUMN terbesar rating nya 4.1..tadinya ga mau komplain..liat2 komen emank agak bapuk ini aplikasinya..ini saya ga tau kenapa kalau pake qris ga pernah mau di klik yg kartu debit..maunya ke kartu kredit baru bisa di klik...apa emank begitu cara giring nya biar saya pergunakan kartu kredit nya??,mengapa peringkat bank bumn terbesar demikian awalnya tidak ingin mengeluhkan melihat komentar agak buruk aplikasi ini saya tidak tahu mengapa saat menggunakan qris kartu debit tidak bisa diklik hanya kartu kredit yang bisa diklik apakah memang demikian cara melakukannya agar saya dapat menggunakan kartu kreditnya
1,c7f1469f-42f5-4dad-86eb-13aca28e5cf7,kenapa tidak bisa masuk ke aplikasi livin kami sedang melakukan peningkatan untuk layanan ini jika ada kendala untuk login ke livin kunjungi kantor cabang mandiri,mengapa tidak bisa masuk ke aplikasi livin kami sedang melakukan peningkatan untuk layanan ini jika ada kendala untuk masuk ke livin kunjungi kantor cabang mandiri
2,3bde987d-6726-4ed8-8cc7-de39a3331f68,"heran aku, kejadian bukan 1 kali jadi di ATM saldo bri 27k terus aku tf 1,054 juta kok di ATM cuma 10,59 perbaiki dong????",saya heran kejadian ini bukan pertama kalinya di atm bri saldo dua puluh tujuh ribu lalu saya melakukan transfer satu milyar lima puluh empat juta namun di atm hanya sepuluh koma lima sembilan mohon diperbaiki
3,91616e30-ada7-4242-8872-ab3e310881f2,Apk nya bagus cmn kebykn nyangkut di e-toll udh top up berhasil tp pas di cek gamasuk2 mohon d bantu arahan pengembalian dana nga saya udh 3x nyangkut dalam jumlah yg lumayan.,aplikasinya bagus namun sering macet di e toll pengisian ulang saldo berhasil namun saat dicek tidak masuk mohon dibantu arahan pengembalian dana saya sudah beberapa kali nyangkut dalam jumlah yang lumayan
4,beffc9f7-fa71-4ab9-9fe8-17c66bab72b0,knp kalo mau transfer harus upgrade ke gopay plus dlu?,mengapa jika ingin mentransfer harus upgrade ke gopay plus dulu
5,683bca31-66fe-4fdc-9883-b8010c5337f2,keren fitur-fiturnya ada juga gopay coin bisa di gunakan untuk top up game,fiturnya menarik dan gopay coin bisa digunakan untuk mengisi ulang game
409,08038bc2-91f2-4ea9-90d1-5f3660e27c11,"mau login aja ga bisa, udah verif email eh tetep ngulang dari awal. lewat shopee cuma loading terus.",ingin masuk saja tidak bisa sudah memverifikasi email tetap mengulang dari awal melalui shopee terus memuat
6,9b730d55-b840-4b19-984b-6af9caa35230,"Saldo saya udah 4 hari ga msk² ,kacau ni gopay,di TF dari Bank BCA ke gopay saya ga msk2 sampai sekarang",saldo saya tidak masuk selama empat hari gopay tidak berfungsi transfer dari bank bca ke gopay saya tidak masuk sampai saat ini
7,0776eec4-7e97-4650-a498-87ba501ddf52,masa gua narik saldo atau tf beli kuota atau pulsa tetep gabisa,mengapa saya menarik saldo atau transfer untuk membeli kuota data atau pulsa tetap tidak bisa
8,16e63e3b-7c7b-448a-abf4-3ab6c33767dc,tidak bisa login akun lama,tidak dapat masuk ke akun lama
9,70360e1f-98bf-44f6-8872-4f112803985a,"transfer dari bank Jago ke rekening Mandiri tanggal 06/11/25 hingga tgl 08/11/25 tidak masuk tetapi saldo terpotong sudah banyak keluhan konsumen ternyata di internet terhadap bank jago, kalo ada yg mengalami hal ini jangan gunakan chat admin karena mereka semua robot AI yg lamban. ga ada kejelasan. apakah ini termasuk penipuan terhadap konsumen?",transfer dari bank jago ke rekening mandiri tidak masuk tetapi saldo terpotong telah banyak keluhan konsumen ternyata di internet terhadap bank jago kalau ada yang mengalami hal ini jangan gunakan chat admin karena mereka semua robot ai yang lamban tidak ada kejelasan apakah ini termasuk penipuan terhadap konsumen
10,18a225e3-b5cb-42fd-b1a3-c9e3ae08119e,tolong kenapa saya tf ply qr ko belum masuk tapi saldo dan split sudah terkirang,tolong mengapa saya transfer melalui kode qr belum masuk tetapi saldo dan pembagian sudah berkurang
11,4f64757a-ad86-4287-b470-7003939df3c6,"kirain kaya merk sebelah,eh pakai minimal transfer melebihi bank konvesional. bank aja min trf 10k di sini 20k",kukira seperti merek sebelah eh pakai transfer minimal melebihi bank konvensional bank saja minimal transfer k di sini k
12,bb9cdd17-d523-440f-814b-92956dcb8a04,"saya jadi cepat untuk transfer, dan terimakasih gopay",saya menjadi lebih cepat untuk melakukan transfer dan terima kasih gopay
13,16e193d9-98fc-4247-8288-d01bf2ccbef3,knapa saya tidak bisa login ke HP yg lain?,mengapa saya tidak bisa masuk ke ponsel yang lain
14,da6efb5e-f5c1-4a23-82f1-97333eebff35,"plis adain qris tap dong min blu kaya bank yang lain niar naik mrt,krl dan transjakarta gampang",tolong sediakan qris tap buat seperti bank lain agar naik mrt krl dan transjakarta menjadi mudah
243,55c3bca2-e8fe-41b9-b701-daf6bb690c6d,verifikasi wajah sangat buruk. sulit sekali dibaca mukanya.,proses verifikasi wajah sangat buruk sulit sekali dibaca mukanya
289,8aab6f55-5c3c-473b-b0c1-9c4919eff532,sy jg sdh bbrp kali hrs download ulang aplikasi livin krn gak bs dibuka sdgkan slth download ulang hrs msk lagi pake no kartu dan verifikasi wajah yg ckp memakan wkt lama,saya juga sudah beberapa kali harus mengunduh ulang aplikasi livin karena tidak bisa dibuka sedangkan setelah mengunduh ulang harus masuk lagi menggunakan nomor kartu dan verifikasi wajah yang cukup memakan waktu lama
15,4638e284-c4ec-4a6c-a70f-75df5d2cd8ad,login gagal terus udah komplain sampai sekarang ga ada solusi Nasib saldo ga jelas,proses masuk gagal terus sudah mengeluhkan masalah ini sampai saat ini tidak ada solusi nasib saldo tidak jelas
16,ed29a5d9-4f3a-454e-b973-315b40e37050,"kebijakan nya kurang bagus, kendala top up harus nunggu proses 1x24 jam, habis itu harus nunggu lagi 1-3hari",kebijakannya kurang bagus kendala pengisian saldo harus menunggu proses dua puluh empat jam setelah itu harus menunggu lagi satu hingga tiga hari
17,3d594ab3-ef4e-402d-9626-e6232149d219,"Saya topup mobile legend di myxl pembayaran lewat ovo. Saldo ovo sudah terpotong,namun di aplikasi myxl dinyatakan gagal, dan saya cek diamond juga belum naik",saya mengisi ulang saldo mobile legend di myxl melalui pembayaran ovo saldo ovo terpotong namun di aplikasi myxl dinyatakan gagal dan saya memeriksa diamond juga belum naik
18,b6a78d42-030e-47a5-802f-fb3d29dac063,"terlalu sering gangguan jdi gabisa transfer. ini permasalahan dari dulu, knpa tidak diperbaiki?",terlalu sering gangguan sehingga tidak bisa mentransfer masalah ini sudah ada sejak lama mengapa tidak diperbaiki
19,fc619bc4-eb5f-4e44-b465-4ef85b6bed64,lama transfer!!,lamanya transfer
20,6182ce9b-dafd-48eb-818d-db1b13553c2f,"Jangan kuatir, ini cuma sementara blablalalallala, dikira bayar qris mau nungguin gangguan? Bawa ewallet buat jadi mudah, malah nyusahin 👎👎👎👎👎👎👎👎👎👎",jangan khawatir ini hanya sementara blablalalallala dikira bayar qris mau menunggu gangguan bawa dompet elektronik agar lebih mudah malah menyusahkan
21,798c6dbb-dad7-4e52-ae28-1255c34ac4b0,"Baguss bngt, selain jarang ada gangguan di apk nya, Cs nya gercep poll woyy pas bikin aduan salah tf. SUKAKKK POLLL pokoknya, sukses terus untuk BANK MANDIRI 😍❤❤",bagus sekali selain jarang terjadi gangguan pada aplikasinya layanan pelanggan nya responsif saat mengajukan aduan saya sangat puas semoga sukses terus untuk bank mandiri
22,6123062d-f7cb-47dd-ac08-71ba79a616e6,"transfer ga masuk masuk nunggu 1 minggi baru masuk , kocak",transfer gagal menunggu minggu berikutnya baru masuk lucu
23,524121d1-7171-4d84-a2df-9388cfa742ee,"sering eror apalagi klo pagi2 😌, n terkadang tf kapan masuknya kapan 🥲, mau berpergian pagi2 mau top up go pay buat naik ojek tapi keseringan eror padahal sinyal aman ujung2 nya telat tempat tujuan 🤣 mau pakai buat bayar tapi muter2 aja, eror ga ada sinyal (ini sinyal padahal aman ya) ujung2 nya malu2in harus minta bayarin temen 🤭 nanti saya ubah ulasan saya klo udh lancar ya 👍",sering mengalami galat apalagi kalau pagi pagi dan terkadang transfer masuknya kapan ingin bepergian pagi pagi untuk isi ulang gopay untuk naik ojek tetapi sering galat meskipun sinyal aman akhirnya telat sampai tujuan ingin dipakai untuk membayar tetapi muter muter saja galat tidak ada sinyal ini sinyal padahal aman akhirnya harus meminta teman membayar nanti saya ubah ulasan saya kalau sudah lancar
24,991c80ac-12ae-4f06-a541-80ea92f2f6cb,bermanfaat bisa bayar pake qris dan cod jadi praktis sekali,bermanfaat karena bisa membayar memakai qris dan cod sehingga praktis sekali
25,714779ff-3590-4dfe-b3b2-f0367a64a4b8,"gmn sih ,males nya pake ovo begini nih, orang mau TF aja hrs verifikasi.sdh di fotoin KTP nya bener,malah balik LG di suruh di ulang2 LG fotoin KTP nya.ribet banget sih pakai ovo.tlg dong jgn di persulit.",bagaimana ini sangat tidak praktis menggunakan ovo orang ingin transfer saja harus verifikasi sudah difoto ktp nya malah balik lagi disuruh diulang lagi foto ktp nya ribet banget pakai ovo tolong ya jangan dipersulit
26,641659ac-1ff9-4962-853a-427d957445fb,sering pinjam di gopay klau lagi urgent doang. itpun langsung dibayar kaga pernah telat.. tapi disaat urgent. kondisi malam. gak ada saldo ada nya cash. cuma buat co hrus tf. bisa bisa nya di tolak.. gak seberapa cuma 200k. ehh harus masukin syart BPKB. hadeuh. gak lagi deh yaa. maaf,sering meminjam di gopay jika sedang mendesak saja itu pun langsung dibayar tidak pernah telat tetapi saat sedang mendesak kondisi malam tidak ada saldo ada uang tunai hanya untuk transfer namun itu bisa ditolak tidak seberapa harus memasukkan syarat bpkb aduh tidak lagi ya maaf
27,7ae507e0-462b-413b-a31f-e9689ffdbb4b,"saya sudah dowload dan mau login, tetapi tidak bisa keterangan selalu perbaikan",saya sudah mengunduh dan ingin masuk tetapi keterangan selalu perbaikan
28,087b05fe-9870-4cd7-b976-72dead6c8100,gak ada tf lewat e wallet diiihhh,tidak ada transfer melalui dompet elektronik
29,f98d3da6-c100-4b8c-96e3-c38f44e0b596,ini tf jam 1 pagi ko ga masuk2 duh kacau,ini tf jam pagi mengapa tidak masuk kacau
278,7eba851b-64d8-4500-abd0-8e15e41aa623,"kesulitan login saat verifikasi wajah, padahal sudah mengikuti instruksi berkedip",kesulitan masuk ketika verifikasi wajah meskipun sudah mengikuti instruksi berkedip
30,6acc5d99-2f52-40c9-9e1d-8b4863d637c0,"sejauh ini menggunakan aplikasi terkait perbankan. aku lebih suka dengan fitur mandiri yang selalu memberikan kemudahan bagi customer nya seperti setor tarik tanpa kartu, QR terima transfer, dsb. yang belum tentu dibank lain ada. ada fitur keamanan juga terkait deteksi telpon jadi kita jadi lebih aware terkait bahaya gendam atau penipuan melalui telpon. thank u, semoga lebih berkembang lagi kedepannya",sejauh ini menggunakan aplikasi terkait perbankan saya lebih suka dengan fitur mandiri yang selalu memberikan kemudahan bagi nasabahnya seperti setor tarik tanpa kartu qr untuk menerima transfer dan sebagainya yang belum tentu ada di bank lain ada fitur keamanan juga terkait deteksi telepon jadi kita menjadi lebih waspada terkait bahaya gendam atau penipuan melalui telepon terima kasih semoga ke depannya lebih berkembang
31,8e8d9167-04a2-4faf-a74b-84c47869f332,"Sabtu tgl 18 Oktober 2025 buat kalian jangan pakai GOPAY sebelum menyesal, saya pakai gopay dari tahun 2018 sebelumnya lancar-lancar saja tidak ada kendala atau gangguan, sekarang transfer pending sudah 2 hari kerja saya baru kali ini merasakannya duit entah kmna, saya kecewa sama gopay dengan alasan bank penerima sedang gangguan/maintenance pdahal itu di jam kerja, jadi kalau menurut saya ini dari pihak GOPAY Yang bermasalah , saya sangat kecewa dengan kendala saya ini saya kapok pakai gopay",sabtu tanggal oktober buat kalian jangan pakai gopay sebelum menyesal saya pakai gopay dari tahun sebelumnya lancar lancar saja tidak ada kendala atau gangguan sekarang transfer tertunda sudah beberapa hari kerja saya baru kali ini merasakannya uang entah kemana saya kecewa terhadap gopay dengan alasan bank penerima sedang gangguan pemeliharaan padahal itu pada jam kerja jadi menurut saya ini dari pihak gopay yang bermasalah saya sangat kecewa dengan kendala saya ini saya tidak ingin lagi menggunakan gopay
32,4ef36fab-b80d-49c2-9dad-75424f3d36a5,gk bisa top up clash of clan,tidak bisa mengisi ulang clash of clans
33,f3c9b153-e750-4b92-b2b3-3b5ae1c7173b,Sering Sekali Terjadi Masalah TF Di Apk ovo ini Di Perbaiki Masalah ini.,sering terjadi masalah tf pada aplikasi ovo ini mohon diperbaiki masalah ini
34,e0b0937e-c323-4990-ad81-82ca388d0910,"oogin nya dipersulit karena ada event padahal udh lama login cuma"" hp kereset",ingin dipersulit karena ada acara padahal sudah lama login hanya setel ulang ponsel
35,33d53689-72ac-490b-9f78-850dce9fc77c,payah lama saya tf beli makanan kaga berhasil,sudah lama saya melakukan transfer untuk membeli makanan tetapi tidak berhasil
36,c0d19d01-ba36-494f-8bf2-1b590e58bec1,"saya mau top up kok tiba-tiba dikasih peringatan aktifitas tidak wajar. mohon untuk segara di tanggap ini, udah hampir seminggu saya tunggu",saya ingin melakukan pengisian saldo tetapi tiba tiba saya diberi peringatan mengenai aktivitas yang tidak wajar mohon segera ditanggapi permasalahan ini sudah hampir seminggu saya menunggu
